sample ID,tin ID,volume filtered (mL),filter mass,dry mass,ashed mass,Notes,TSS (mg/L)
loc202405,loc04,1660,1.1117,1.1123,1.1117,,0.361445783
loc202405,loc06,1660,1.0976,1.0979,1.0975,,0.180722892
loc202406,loc02,930,1.1112,1.1122,1.1119,,1.075268817
loc202406,loc02,960,1.1009,1.102,1.1021,,1.145833333
loc202406,loc03,940,1.1005,1.1017,1.1011,,1.276595745
loc202407,loc07,1020,1.117,1.1176,1.1175,,0.588235294
loc202407,loc08,1020,1.123,1.123,1.123,,0
loc202407,loc09,1020,1.126,1.1261,1.126,,0.098039216
loc20240813,loc19,1500,1.0857,1.0881,1.0868,,1.6
loc20240813,loc20,1500,1.1117,1.1137,1.1124,,1.333333333
loc20240813,loc21,1500,1.1209,1.1232,1.1221,,1.533333333
loc20240924,loc10,2040,1.11,1.1107,1.11,,0.343137255
loc20240924,loc11,2040,1.1208,1.1216,1.1208,,0.392156863
loc20240924,loc12,2040,1.1321,1.133,1.1321,,0.441176471
loc20241025,loc22,740,1.1054,1.1068,1.106,,1.891891892
loc20241025,loc23,740,1.0975,1.099,1.0984,,2.027027027
loc20241025,loc24,740,1.0982,1.0997,1.0991,,2.027027027
loc20241121,loc16,950,1.1214,1.1235,1.1224,,2.210526316
loc20241121,loc17,950,1.1079,1.1097,1.1085,,1.894736842
loc20241121,loc18,950,1.1082,1.1102,1.1089,,2.105263158
loc20250124,loc13,990,1.1001,1.1003,1.1001,,0.202020202
loc20250124,loc14,990,1.1172,1.1172,1.1172,,0
loc20250124,loc15,990,1.1073,1.1075,1.1074,,0.202020202
loc202502,loc31,1505,1.129,1.1315,1.1302,,1.661129568
loc202502,loc32,1485,1.1285,1.131,1.1294,,1.683501684
loc202502,loc33,1513,1.1281,1.1308,1.1291,,1.784534038
loc20250311,loc25,1800,1.1004,1.1025,1.1016,,1.166666667
loc20250311,loc26,1800,1.0956,1.0976,1.0964,,1.111111111
loc20250311,loc27,1595,1.0996,1.1012,1.1,,1.003134796
loc202504,loc34,1157,1.1143,1.1162,1.1154,"""""",1.642178047
loc202504,loc35,1145,1.1086,1.1107,1.11,"""""",1.834061135
loc202504,loc36,1211,1.1371,1.1389,1.1382,"""""",1.486374897
loc202505,loc37,1215,1.1229,1.1266,1.1257,,3.04526749
loc202505,loc38,1239,1.1299,1.1335,1.1327,,2.905569007
loc202505,loc39,1223,1.1292,1.1329,1.1322,,3.025347506
loc202506,loc40,1549,1.1205,1.1236,1.1229,,2.001291156
loc202506,loc41,1524,1.1491,1.152,1.1515,,1.902887139
loc202506,loc42,1536,1.1502,1.1532,1.1526,,1.953125
loc202507,loc43,1192,1.1269,1.1282,1.1272,,1.090604027
loc202507,loc44,1192,1.123,1.1244,1.1235,,1.174496644
loc202507,loc45,1207,1.1315,1.1328,1.1321,,1.077050539
loc202507,loc46,1197,1.1302,1.1316,1.1308,,1.169590643
loc202508,loc53,1350,1.1179,1.0992,1.0982,,-13.85185185
loc202508,loc54,1585,1.1146,1.0973,1.0965,,-10.9148265
loc202508,loc55,1550,1.1099,1.0996,1.0987,,-6.64516129
loc202509123,loc50,1932,1.1126,1.1131,1.1128,,0.258799172
loc202509123,loc51,1953,1.1017,1.1023,1.102,,0.307219662
loc202509123,loc52,1848,1.1149,1.1156,1.1152,,0.378787879
loc20250930,loc47,1957,1.1047,1.1057,1.105,,0.510986203
loc20250930,loc48,1995,1.1398,1.1412,1.1404,,0.701754386
loc20250930,loc49,1977,1.1181,1.12,1.1187,,0.961052099
loc20251112,gl458,897,1.0995,1.1046,1.1033,tin id wrong?,5.685618729
loc20251112,gl459,882,1.1093,1.1134,1.1145,"""""",4.648526077
loc20251112,gl460,875,1.094,1.0982,1.0987,"""""",4.8
loc202512,loc62,1003,1.1126,1.1147,1.1141,,2.093718843
loc202512,loc63,1001,1.1034,1.1055,1.1048,,2.097902098
loc202512,loc64,1022,1.1048,1.107,1.1063,,2.152641879
